Disease,Serotype,Reason,Country,Code,Unit type,Latitude,Longitude,Admin1,OBStartDate,OBEndDate,Species,Susceptible,Cases,Deaths,Destroyed,Slaughtered
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,51.1,4.13,Oost-Vlaanderen,22/09/06,13/12/06,Sheep,19,1,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,51.07,3.53,Oost-Vlaanderen,22/09/06,13/12/06,Sheep,121,1,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,51.07,3.53,Oost-Vlaanderen,23/09/06,13/12/06,Sheep,5,1,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.92,5.33,Limburg,26/09/06,13/12/06,Sheep,1,1,1,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.93,5.17,Limburg,29/09/06,13/12/06,Sheep,1,1,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.57,5.15,Li_ge,20/09/06,13/12/06,Sheep,18,1,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.97,5.02,Vlaams Brabant,26/09/06,13/12/06,Sheep,4,1,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.9,3.52,Oost-Vlaanderen,27/09/06,13/12/06,Sheep,26,1,1,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.93,5.07,Limburg,29/09/06,13/12/06,Sheep,1,1,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.98,5.18,Limburg,24/09/06,13/12/06,Sheep,7,1,1,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.97,5.68,Limburg,25/09/06,13/12/06,Sheep,1,1,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,51.12,5.07,Antwerpen,26/09/06,13/12/06,Sheep,30,1,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,51.03,3.55,Oost-Vlaanderen,27/09/06,13/12/06,Sheep,4,2,2,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.85,5.18,Limburg,20/09/06,13/12/06,Sheep,1,1,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.85,5.18,Limburg,26/09/06,13/12/06,Sheep,1,0,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,51.03,3.43,Oost-Vlaanderen,25/09/06,13/12/06,Sheep,5,1,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.37,4.87,Namur,21/09/06,13/12/06,Sheep,5,1,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,51.02,3.63,Oost-Vlaanderen,27/09/06,13/12/06,Sheep,14,2,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,51,3.47,Oost-Vlaanderen,25/09/06,13/12/06,Sheep,6,1,1,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,51.15,3.6,Oost-Vlaanderen,26/09/06,13/12/06,Sheep,245,1,1,0,0
